CEPH ID	Origin
HGDP00545	Guinea
HGDP00546	Guinea
HGDP00547	Guinea
HGDP00548	Guinea
HGDP00549	Guinea
HGDP00550	Guinea
HGDP00551	Guinea
HGDP00552	Guinea
HGDP00553	Guinea
HGDP00554	Guinea
HGDP00555	Guinea
HGDP00556	Guinea
HGDP00557	Israel
HGDP00558	Israel
HGDP00559	Israel
HGDP00560	Israel
HGDP00561	Israel
HGDP00562	Israel
HGDP00563	Israel
HGDP00564	Israel
HGDP00565	Israel
HGDP00566	Israel
HGDP00567	Israel
HGDP00568	Israel
HGDP00569	Israel
HGDP00570	Israel
HGDP00571	Israel
HGDP00572	Israel
HGDP00573	Israel
HGDP00574	Israel
HGDP00575	Israel
HGDP00576	Israel
HGDP00577	Israel
HGDP00578	Israel
HGDP00579	Israel
HGDP00580	Israel
HGDP00581	Israel
HGDP00582	Israel
HGDP00583	Israel
HGDP00584	Israel
HGDP00585	Israel
HGDP00586	Israel
HGDP00587	Israel
HGDP00588	Israel
HGDP00589	Israel
HGDP00590	Israel
HGDP00591	Israel
HGDP00592	Israel
HGDP00594	Israel
HGDP00595	Israel
HGDP00598	Israel
HGDP00599	Israel
HGDP00600	Israel
HGDP00601	Israel
HGDP00602	Israel
HGDP00603	Israel
HGDP00604	Israel
HGDP00605	Israel
HGDP00606	Israel
HGDP00607	Israel
HGDP00608	Israel
HGDP00609	Israel
HGDP00610	Israel
HGDP00611	Israel
HGDP00612	Israel
HGDP00613	Israel
HGDP00614	Israel
HGDP00615	Israel
HGDP00616	Israel
HGDP00617	Israel
HGDP00618	Israel
HGDP00619	Israel
HGDP00620	Israel
HGDP00621	Israel
HGDP00622	Israel
HGDP00623	Israel
HGDP00624	Israel
HGDP00625	Israel
HGDP00626	Israel
HGDP00627	Israel
HGDP00628	Israel
HGDP00629	Israel
HGDP00630	Israel
HGDP00631	Israel
HGDP00632	Israel
HGDP00633	Israel
HGDP00634	Israel
HGDP00635	Israel
HGDP00636	Israel
HGDP00637	Israel
HGDP00638	Israel
HGDP00639	Israel
HGDP00640	Israel
HGDP00641	Israel
HGDP00642	Israel
HGDP00643	Israel
HGDP00644	Israel
HGDP00645	Israel
HGDP00646	Israel
HGDP00647	Israel
HGDP00648	Israel
HGDP00649	Israel
HGDP00650	Israel
HGDP00651	Israel
HGDP00652	Israel
HGDP00653	Israel
HGDP00654	Israel
HGDP00655	Guinea
HGDP00656	Guinea
HGDP00657	Guinea
HGDP00658	Guinea
HGDP00659	Guinea
HGDP00660	Guinea
HGDP00661	Guinea
HGDP00662	Guinea
HGDP00663	Guinea
HGDP00664	Guinea
HGDP00665	Italy
HGDP00666	Italy
HGDP00667	Italy
HGDP00668	Italy
HGDP00669	Italy
HGDP00670	Italy
HGDP00671	Italy
HGDP00672	Italy
HGDP00673	Italy
HGDP00674	Italy
HGDP00675	Israel
HGDP00676	Israel
HGDP00677	Israel
HGDP00678	Israel
HGDP00679	Israel
HGDP00680	Israel
HGDP00681	Israel
HGDP00682	Israel
HGDP00683	Israel
HGDP00684	Israel
HGDP00685	Israel
HGDP00686	Israel
HGDP00687	Israel
HGDP00688	Israel
HGDP00689	Israel
HGDP00690	Israel
HGDP00691	Israel
HGDP00692	Israel
HGDP00693	Israel
HGDP00694	Israel
HGDP00695	Israel
HGDP00696	Israel
HGDP00697	Israel
HGDP00698	Israel
HGDP00699	Israel
HGDP00700	Israel
HGDP00701	Israel
HGDP00702	Colombia
HGDP00703	Colombia
HGDP00704	Colombia
HGDP00705	Colombia
HGDP00706	Colombia
HGDP00707	Colombia
HGDP00708	Colombia
HGDP00709	Colombia
HGDP00710	Colombia
HGDP00711	Cambodia
HGDP00712	Cambodia
HGDP00713	Cambodia
HGDP00714	Cambodia
HGDP00715	Cambodia
HGDP00716	Cambodia
HGDP00717	Cambodia
HGDP00718	Cambodia
HGDP00719	Cambodia
HGDP00720	Cambodia
HGDP00721	Cambodia
HGDP00722	Israel
HGDP00723	Israel
HGDP00724	Israel
HGDP00725	Israel
HGDP00726	Israel
HGDP00727	Israel
HGDP00728	Israel
HGDP00729	Israel
HGDP00730	Israel
HGDP00731	Israel
HGDP00732	Israel
HGDP00733	Israel
HGDP00734	Israel
HGDP00735	Israel
HGDP00736	Israel
HGDP00737	Israel
HGDP00738	Israel
HGDP00739	Israel
HGDP00740	Israel
HGDP00741	Israel
HGDP00742	Israel
